Corpus 1,	Corpus 2,	value
NatiFrid,AriBargar,0.067999756
NatiFrid,Ah56015457,0.070491758
AriBargar,Ah56015457,0.084903468
wtf25986999,Ah56015457,0.134732632
wtf25986999,NatiFrid,0.142628846
wtf25986999,slinkysown68849,0.145870766
Nobleinopal,NatiFrid,0.147377981
slinkysown68849,Ah56015457,0.148002991
slinkysown68849,NatiFrid,0.156483751
wtf25986999,AriBargar,0.159331901
Nobleinopal,AriBargar,0.164055513
Nobleinopal,Ah56015457,0.164320333
NatiFrid,Meir1973782,0.164771524
slinkysown68849,AriBargar,0.170753201
wtf25986999,Nobleinopal,0.177464999
Meir1973782,Ah56015457,0.179439103
Meir1973782,AriBargar,0.18090182
slinkysown68849,Nobleinopal,0.182052054
wtf25986999,Meir1973782,0.187970679
NatiFrid,BendavidDudi,0.191776362
slinkysown68849,Meir1973782,0.192637825
Nobleinopal,Meir1973782,0.199512372
edihoo2,NatiFrid,0.206015104
BendavidDudi,AriBargar,0.208499006
BendavidDudi,Ah56015457,0.208827874
NatiFrid,AmnonShulman,0.209933159
Nobleinopal,BendavidDudi,0.213014604
AmnonShulman,Ah56015457,0.215436779
